               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.028924,           0.0070305,           0.0013518,             0.95961,               0.721,             0.81541,             0.44922,            0.041502,             0.01505,           0.0055612,            0.006667,            0.006667,            0.006667
                 103,            0.031801,           0.0077346,           0.0014537,             0.93871,             0.70814,             0.80744,             0.49417,            0.041528,            0.014851,            0.006205,            0.006634,            0.006634,            0.006634
                 104,            0.029893,           0.0073834,           0.0014232,             0.94555,             0.70944,             0.81061,             0.49428,            0.041905,            0.014658,           0.0066208,            0.006601,            0.006601,            0.006601
                 105,            0.031372,           0.0079031,           0.0015499,             0.94895,             0.73362,             0.79932,              0.4834,            0.040778,             0.01454,           0.0069151,            0.006568,            0.006568,            0.006568
                 106,            0.031659,           0.0073027,            0.001396,             0.92067,             0.72334,             0.77237,             0.45492,            0.045978,             0.01416,           0.0076638,            0.006535,            0.006535,            0.006535
                 107,             0.03046,           0.0071835,            0.001567,             0.97202,             0.72473,             0.82391,             0.50906,            0.040844,            0.014299,           0.0071974,            0.006502,            0.006502,            0.006502
                 108,            0.030125,           0.0079684,           0.0015363,             0.94132,             0.78501,             0.88602,             0.54436,            0.038924,            0.014547,           0.0069295,            0.006469,            0.006469,            0.006469
                 109,            0.031893,           0.0080455,           0.0015958,             0.96337,             0.72201,             0.85346,             0.49979,            0.040516,             0.01462,           0.0070986,            0.006436,            0.006436,            0.006436
                 110,            0.030159,           0.0076675,           0.0015334,             0.96494,             0.71662,             0.81822,             0.46991,            0.040125,            0.014809,           0.0071741,            0.006403,            0.006403,            0.006403
                 111,            0.028686,           0.0074727,           0.0015559,             0.85085,             0.63882,             0.72357,             0.48981,            0.040308,            0.014963,           0.0071977,             0.00637,             0.00637,             0.00637
                 112,            0.028221,           0.0073795,           0.0017493,              0.8497,             0.63688,             0.72628,             0.48075,            0.041249,            0.014828,           0.0072395,            0.006337,            0.006337,            0.006337
                 113,            0.028747,           0.0068541,            0.001518,             0.94461,             0.71977,             0.78602,             0.47317,             0.04065,            0.015203,           0.0077153,            0.006304,            0.006304,            0.006304
                 114,            0.028591,              0.0074,           0.0015117,               0.839,             0.63881,              0.7227,              0.5085,            0.040699,            0.014997,           0.0080442,            0.006271,            0.006271,            0.006271
                 115,            0.030572,           0.0081625,           0.0013966,             0.94869,              0.7252,             0.78258,             0.51015,            0.041791,            0.014428,           0.0081011,            0.006238,            0.006238,            0.006238
                 116,            0.028329,           0.0071609,           0.0013874,             0.93537,             0.73598,             0.78768,             0.51847,            0.040237,            0.014487,           0.0083596,            0.006205,            0.006205,            0.006205
                 117,            0.029074,           0.0083721,           0.0012409,             0.84175,             0.76158,             0.77288,              0.4806,            0.041868,            0.014309,           0.0079944,            0.006172,            0.006172,            0.006172
                 118,            0.029249,           0.0073374,           0.0014141,              0.8415,             0.75965,             0.79457,             0.49861,            0.038478,            0.014605,           0.0076822,            0.006139,            0.006139,            0.006139
                 119,            0.028819,           0.0076587,           0.0012482,             0.93212,             0.71932,             0.81881,             0.49892,            0.040321,            0.014994,           0.0069717,            0.006106,            0.006106,            0.006106
                 120,            0.028152,           0.0075921,           0.0013993,             0.92514,             0.71973,             0.79423,             0.49939,            0.040447,            0.015742,           0.0072301,            0.006073,            0.006073,            0.006073
                 121,            0.028146,           0.0081896,           0.0014419,             0.93244,             0.72317,             0.78355,             0.47981,            0.040689,            0.016137,           0.0078078,             0.00604,             0.00604,             0.00604
                 122,            0.028189,           0.0076906,           0.0012671,             0.92478,             0.72323,             0.77413,              0.5024,            0.039607,            0.017076,           0.0083742,            0.006007,            0.006007,            0.006007
                 123,            0.027706,           0.0074852,           0.0011843,             0.83185,             0.64192,             0.67872,             0.46891,            0.040718,            0.017187,            0.008733,            0.005974,            0.005974,            0.005974
                 124,            0.027077,           0.0074343,           0.0011519,             0.94834,             0.72256,              0.7614,             0.50244,            0.039097,            0.017012,           0.0082981,            0.005941,            0.005941,            0.005941
                 125,            0.028056,           0.0078157,           0.0012307,             0.96712,             0.72169,              0.7579,             0.47873,            0.039421,            0.016988,           0.0079029,            0.005908,            0.005908,            0.005908
                 126,            0.027003,           0.0074805,           0.0011916,             0.96576,             0.72644,             0.76006,             0.50577,            0.039513,            0.016852,           0.0069505,            0.005875,            0.005875,            0.005875
                 127,            0.027521,           0.0075494,           0.0012125,             0.97023,             0.73687,             0.78685,             0.52603,            0.040606,            0.016181,           0.0063281,            0.005842,            0.005842,            0.005842
                 128,             0.02803,           0.0070892,           0.0013186,             0.97046,             0.73609,             0.79254,             0.48477,            0.041924,            0.015929,           0.0064505,            0.005809,            0.005809,            0.005809
                 129,            0.028008,           0.0077631,           0.0014327,             0.90675,             0.74985,             0.79496,             0.50121,            0.041049,             0.01577,            0.006849,            0.005776,            0.005776,            0.005776
                 130,            0.027319,           0.0072203,           0.0014063,             0.94273,             0.71556,               0.795,             0.51388,            0.039909,            0.015588,           0.0061572,            0.005743,            0.005743,            0.005743
                 131,            0.027886,           0.0074163,           0.0015253,             0.96265,             0.72411,             0.80051,             0.49917,            0.040075,            0.015696,           0.0058027,             0.00571,             0.00571,             0.00571
                 132,            0.027109,            0.007024,           0.0012659,             0.97465,             0.72164,             0.80165,             0.46848,            0.039943,            0.016275,            0.006545,            0.005677,            0.005677,            0.005677
                 133,            0.027443,           0.0071238,           0.0013278,             0.94667,             0.71429,              0.8024,             0.48112,            0.039897,            0.016177,           0.0075634,            0.005644,            0.005644,            0.005644
                 134,            0.027213,            0.007485,           0.0012361,             0.97304,             0.72218,             0.80758,             0.52926,            0.039063,            0.015985,           0.0077857,            0.005611,            0.005611,            0.005611
                 135,            0.025998,           0.0069979,           0.0011317,             0.97902,              0.7216,             0.80184,             0.45249,             0.04178,            0.015785,           0.0067938,            0.005578,            0.005578,            0.005578
                 136,            0.027801,            0.007064,           0.0010333,             0.97817,              0.7221,             0.79905,             0.44523,            0.042453,            0.015359,           0.0063734,            0.005545,            0.005545,            0.005545
                 137,            0.027895,           0.0069653,           0.0011189,             0.98228,             0.72166,             0.79749,             0.47911,            0.042958,            0.015168,           0.0053615,            0.005512,            0.005512,            0.005512
                 138,            0.026882,           0.0067473,           0.0010644,             0.98286,             0.72185,             0.78248,             0.46296,             0.04206,            0.015757,           0.0048873,            0.005479,            0.005479,            0.005479
                 139,            0.027026,           0.0078036,            0.001204,             0.86176,             0.64056,             0.70492,             0.46516,            0.040858,            0.015118,           0.0050889,            0.005446,            0.005446,            0.005446
                 140,            0.026243,           0.0069786,           0.0011573,             0.88675,             0.63437,             0.70561,             0.47004,            0.039596,            0.015224,           0.0052418,            0.005413,            0.005413,            0.005413
                 141,              0.0271,           0.0072159,           0.0011342,             0.97511,             0.72457,             0.76704,             0.48773,            0.040321,            0.015768,           0.0054132,             0.00538,             0.00538,             0.00538
                 142,            0.026289,           0.0070944,           0.0011692,             0.84119,             0.64104,             0.70267,             0.49721,            0.038304,            0.015656,           0.0052725,            0.005347,            0.005347,            0.005347
                 143,            0.025627,           0.0073205,           0.0012154,             0.83428,             0.64184,             0.71281,             0.47575,            0.040117,            0.015224,           0.0050269,            0.005314,            0.005314,            0.005314
                 144,             0.02618,           0.0071193,           0.0011527,             0.94292,             0.72366,             0.81658,             0.47775,            0.041421,            0.014386,           0.0049266,            0.005281,            0.005281,            0.005281
                 145,            0.026308,           0.0074855,           0.0011747,             0.95451,             0.72417,             0.82477,             0.47954,            0.040526,            0.014441,           0.0045677,            0.005248,            0.005248,            0.005248
                 146,            0.025488,           0.0074958,           0.0011412,             0.97187,             0.72354,             0.83527,             0.49776,            0.040138,            0.013858,           0.0040309,            0.005215,            0.005215,            0.005215
                 147,            0.024873,           0.0072362,           0.0010079,             0.97454,             0.72254,             0.83509,             0.49792,            0.041092,            0.013796,           0.0038005,            0.005182,            0.005182,            0.005182
                 148,            0.026116,           0.0068327,          0.00095899,             0.97565,             0.72239,             0.82012,             0.50525,            0.040597,            0.013622,           0.0037155,            0.005149,            0.005149,            0.005149
                 149,            0.027694,           0.0072525,          0.00091018,             0.97744,             0.71791,             0.82719,             0.48099,             0.03941,            0.013561,           0.0036644,            0.005116,            0.005116,            0.005116
                 150,            0.025297,            0.006853,           0.0010424,             0.76267,             0.69912,             0.75349,              0.5022,            0.039755,            0.012875,            0.003717,            0.005083,            0.005083,            0.005083
                 151,            0.024573,           0.0070195,           0.0011014,             0.85533,             0.64781,             0.73821,             0.48222,            0.041325,            0.012442,           0.0048555,             0.00505,             0.00505,             0.00505
                 152,            0.024679,           0.0071608,           0.0012807,             0.97832,             0.72979,             0.83621,             0.50872,            0.040173,             0.01275,           0.0050355,            0.005017,            0.005017,            0.005017
                 153,            0.024177,           0.0070125,           0.0011354,             0.85902,             0.64402,             0.75047,             0.50101,            0.040907,            0.012955,           0.0043958,            0.004984,            0.004984,            0.004984
                 154,            0.023792,           0.0069571,           0.0011712,             0.85003,              0.6394,             0.72781,             0.46496,            0.041634,            0.013386,           0.0035821,            0.004951,            0.004951,            0.004951
                 155,            0.023251,           0.0070941,           0.0012182,             0.76413,             0.64735,             0.69861,             0.47551,            0.040626,            0.014817,           0.0038149,            0.004918,            0.004918,            0.004918
                 156,            0.025017,           0.0068807,           0.0011572,             0.88297,             0.72977,             0.76182,             0.45049,              0.0403,            0.015209,            0.003912,            0.004885,            0.004885,            0.004885
                 157,            0.026177,           0.0074179,           0.0010863,             0.84402,             0.71429,             0.76262,             0.47337,             0.04008,            0.015369,           0.0035329,            0.004852,            0.004852,            0.004852
